Base License Number,Base Name,DBA,Year,Month,Month Name,Total Dispatched Trips,Total Dispatched Shared Trips,Unique Dispatched Vehicles
B01269,DIVISION CAR & LIMO INC.,NATANYA TRANSPORTATION,2018,9,September,895,0,4
B00375,THE EXCELLENT C/S INC,,2015,9,September,"16,035",0,101
B02892,SEAMAN EXPRESS CORP.,,2017,1,January,4,0,4
B01711,FLUSHING LIMO TRANSP CORP,,2017,6,June,"6,228",0,24
B03023,HERMANY LIMO TRANSPORTATION LLC,,2018,10,October,587,0,7
B03081,DLS CAR AND LIMOUSINE SERVICE CORP,ALL TRANSFERS SERVICE,2015,8,August,1,0,1
B01146,CHURCH AVE C/S INC,,2018,10,October,"11,797",0,41
B02737,BWJ GROUP INC,,2018,11,November,"2,853",0,12
B02841,"SKYWAY EXECUTIVE SERVICE, INC",,2017,3,March,600,0,17
B01391,ROSE 'N' DALE C/S INC,,2017,1,January,"3,308",0,12
B00412,NYC 2 WAY INTERNATIONAL LTD,NYC TWO WAY INC.,2015,7,July,"10,056",0,126
B01124,COOPERATIVA CLBNA DE CON INC,,2018,12,December,"3,867",0,31
B02823,AAA FAMILY LIMOUSINE SERVICE INC,,2017,8,August,19,0,4
B01455,REPUBLICA CAR & LIMO SERVICE CORP.,,2018,1,January,"5,684",0,37
B02783,"PREFERRED CARE TRANSPORTATION SERVICE,INC",,2017,7,July,"3,442",0,23
B02715,GROUNDANYWHERE LLC,,2017,11,November,"17,263",0,640
B03156,EPIC CAR SERVICE INC.,,2018,11,November,964,0,22
B01269,DIVISION CAR & LIMO INC.,NATANYA TRANSPORTATION,2017,6,June,"1,244",0,5
B02671,COMMUNITY CAR SERVICE PRISCILLA CORP,,2018,10,October,"2,193",0,13
B02254,"FINESSE GROUP LIMOUSINE,INC.",,2016,6,June,"1,245",0,8
B01280,BENSONHURST RIDE INC.,,2017,8,August,"5,367",0,27
B00457,PREMIUM BRONX CORP,,2016,4,April,"19,770",0,270
B02686,STANDARD LIMOUSINE & CAR SERVICE GROUP LLC.,,2017,3,March,73,0,21
B00039,BERMUDA LIMOUSINE SERVICE INC.,,2017,6,June,"1,316",0,50
B02881,DIANE CAR AND LIMO SERVICE LLC,,2016,5,May,"7,549",0,35
B01391,ROSE 'N' DALE C/S INC,,2015,5,May,"4,963",0,18
B01269,DIVISION CAR & LIMO INC.,NATANYA TRANSPORTATION,2018,11,November,"1,088",0,5
B01326,DEBORAH C/L SVC INC,,2016,8,August,154,0,2
B02148,MAVRIK TRANS INC.,,2017,4,April,576,0,38
B01672,NEW DAYNIGHT CAR SVCE,,2016,9,September,"1,340",0,67
B02724,PRIME TIME LIMOUSINE INC.,PRIME TIME GLOBAL,2017,2,February,272,0,19
B03055,EXPLORER EXPRESS INC,,2018,3,March,"1,737",0,21
B02163,JUNIORS EXPRESS CAR SERVICE INC.,,2015,11,November,"2,628",0,20
B02745,HOYT LIVERY INC,,2015,12,December,315,0,20
B02699,PRESIDENTIAL LUXURY LIMO INC.,,2018,1,January,"1,219",0,33
B02726,COMPADRE CAR SERVICE INC.,,2016,7,July,"1,838",0,8
B00375,THE EXCELLENT C/S INC,,2015,8,August,"17,552",0,103
B00900,BIG Q CAR SVC. INC.,,2016,9,September,"50,160",0,194
B01351,HADERECH CAR SERVICE INC,,2017,7,July,267,0,3
B02191,US LIMO SYSTEM INC,,2016,3,March,"1,101",0,56
B02931,NEW TECHNOLOGY TRANSPORTATION INC.,,2018,8,August,279,0,1
B00021,MEXICANA HIGH CLASS INC.,CAPITAL CAR SERVICE,2018,6,June,"5,016",0,47
B00552,HINO-MARU ENTERPRISES INC.,,2017,11,November,417,0,40
B02217,PCS LIMOUSINE INC.,,2016,8,August,525,0,13
B01424,EAGLE CAR & LIMO LTD.,,2018,9,September,180,0,3
B02229,NEW FAT INC.,ELEGANTE,2016,12,December,"4,126",0,35
B02410,"POLO LIMOUSINE, CORP.",,2018,9,September,"1,055",0,44
B02099,SUNNY'S LIMOUSINE SERVICE INC,SSS LIMO SERVICE,2015,4,April,"3,766",0,94
B01899,"ALLSTATE PRIVATE CAR & LIMO,INC",,2015,8,August,"16,651",0,118
B01800,EMPIRE INTERNATIONAL LTD.,,2017,1,January,"8,773",0,308
B01109,UNITED EXP C/L SVCE,,2018,3,March,"3,081",0,21
B02144,"SILVER STAR LIMOUSINES, INC.",,2018,3,March,347,0,10
B02934,JUN'S LIMOUSINE AND CAR SERVICE LLC,,2018,5,May,275,0,5
B02546,X RADIO DISPATCHER INC.,,2017,6,June,"1,695",0,125
B00112,"AYY&M TRANSPORTATION, LLC",HARBORVIEW CAR SERVICE,2017,9,September,"2,808",0,13
B02737,BWJ GROUP INC,,2017,12,December,"3,711",0,18
B01190,NEW BELL CAR SERVICE CORP,,2017,7,July,"2,349",0,30
B01928,DISCOVER LIMO INC,INFINITY LIMO,2017,4,April,46,0,8
B00220,BIG EAST MULTI GROUP CORP.,PREMIER CAR SERVICE,2017,9,September,"2,462",0,16
B02508,"DISPATCH CENTRAL, INC.",,2016,12,December,76,0,10
B01529,J.I.G. TRANSPORT CORP.,NEW EASTERN C/L SVCE,2018,10,October,933,0,9
B01492,MOBILE #1 CAR SERVICE INC.,,2017,12,December,67,0,7
B00131,NEW MEXICANA CAR SERVICE II INC.,AZTECA EXPRESS,2016,5,May,"1,746",0,15
B02717,ZOOM CAR SERVICE INC.,,2016,8,August,631,0,3
B03008,CROWN CAR & LIMO SERVICE INC.,,2017,9,September,99,0,7
B01424,EAGLE CAR & LIMO LTD.,,2016,2,February,750,0,6
B02229,NEW FAT INC.,ELEGANTE,2015,11,November,"22,448",0,231
B01913,MIRAGE LIMOUSINE SERVICE INC,,2018,3,March,834,0,23
B02180,PEGASUS TRANSPORT SERVICE INC.,,2017,8,August,108,0,12
B03046,"BEL-LINDA, INC",ISLANDER TRANS,2018,12,December,"4,420",0,10
B00559,7 OCEAN EXPRESS INC.,,2017,3,March,"6,673",0,45
B01478,"UNIWORLD BROTHERS ENTERPRISES, INC.",,2018,3,March,448,0,5
B02531,CLEAN AIR CAR SERVICE AND PARKING CORP.,,2017,8,August,"5,315",0,41
B00628,"CONCORD LIMOUSINE 1, LLC",,2016,9,September,"16,205",0,328
B02905,PUEBLA LUXURY CORP,,2017,9,September,"10,765",0,48
B02797,CJ LIMOUSINE LLC,,2016,1,January,319,0,11
B01522,"STM ENTERPRISES,INC",JAVA CAR & LIMOUSINE SERVICE,2018,5,May,721,0,20
B02968,NEW GENERATION BLACK CAR TRANSPORTATION CORP.,,2018,5,May,"1,603",0,10
B01318,LOWER EAST SIDE C/S CORP,,2017,6,June,"9,174",0,41
b01148,EVELYN CAR SERVICE INC,,2016,8,August,"1,571",0,62
B01282,NEW LOTS C/S INC,,2017,3,March,"24,342",0,66
B00972,N.J.M.INC.,MID ISLAND CAR SVCE,2015,7,July,"2,239",0,17
B01190,NEW BELL CAR SERVICE CORP,,2017,4,April,"9,699",0,49
B02998,GENESIS LUXURY TRANSPORTATION CORP.,,2018,8,August,"1,265",0,23
B03094,"JBE LIMO, INC",,2018,4,April,26,0,7
B01626,LA NUEVA QUISQUEYA C/S INC,,2018,10,October,"27,429",0,121
B01534,METRO CAR SERVICE CORP.,METROLINE CAR SERVICE,2016,10,October,"5,567",0,26
B02311,FAST CITY CAR & LIMO SVC INC.,,2017,7,July,"2,026",0,13
B02547,NICK CAR & LIMO SERVICE INC.,,2017,6,June,62,0,7
B02437,"EXCELLENT CAR & LIMO SERVICE, INC.",,2018,3,March,"34,737",0,137
B00628,"CONCORD LIMOUSINE 1, LLC",,2016,6,June,"18,328",0,350
B01066,DOMINICANA RAD DISP INC,,2017,2,February,"15,373",0,92
B00756,T & S HILLSIDE INC.,RED CAP CAR SERVICE,2015,5,May,"8,711",0,28
B01124,COOPERATIVA CLBNA DE CON INC,,2018,11,November,"3,605",0,40
B02727,OSCAR LIMOUSINE INC,,2016,6,June,175,0,4
B02200,BCL NETWORK LLC,,2017,11,November,329,0,11
B02727,OSCAR LIMOUSINE INC,,2015,5,May,189,0,7
b00941,PERSONAL TOUCH C/S,,2015,9,September,"2,194",0,19
B02055,"MONTAGUE MANAGEMENT SERVICES, INC.",PROMINENT CAR & LIMO,2017,12,December,365,0,2
B01326,DEBORAH C/L SVC INC,,2018,8,August,"2,543",0,66
B01128,PAK-EAGLE INC.,JEWEL CAR SERVICE,2018,3,March,"2,050",0,6
B01233,NEW LACONIA RAD DISP INC,,2017,8,August,"3,300",0,57
B02547,NICK CAR & LIMO SERVICE INC.,,2016,10,October,135,0,8
B01340,UNICAR COMPANY INC,,2015,6,June,"32,294",0,159
b00056,TRANSIT PRIVATE CAR SERVICE INC.,,2017,1,January,"3,753",0,44
B00037,TRANSP UNLIMITED C/S,,2017,9,September,"1,258",0,40
B01292,SHEPREID CAR SERVICE AND LIMOUSINE CORP.,DELTA CAR SVCE,2015,11,November,"1,708",0,9
B01854,EUROPE LIMOUSINE SERVICE INC,,2019,1,January,"2,766",0,122
B00387,FORTUNE LIMOUSINES INC,,2016,9,September,509,0,8
B02686,STANDARD LIMOUSINE & CAR SERVICE GROUP LLC.,,2018,9,September,141,0,13
B01730,LUCKY EXPRESS CORPORATION,GOOD LUCK CAR SVCE,2017,10,October,"12,507",0,134
B02311,FAST CITY CAR & LIMO SVC INC.,,2017,1,January,"2,471",0,15
B02060,AMERICAN LIMOUSINE LLC,FLYTE TYME WORLDWIDE/ADDISON LEE,2015,8,August,609,0,56
B02749,FACE LIMO INC,,2017,4,April,515,0,15
B00987,AHSAN INC.,MARLBORO CAR SERVICE,2017,6,June,157,0,2
B02287,"ROAD NEW YORK ENTERPRISES, INC.",DAI-ICHI LIMOUSINE,2017,12,December,101,0,6
B02909,PUERTO RICO EXPRESS BLACK LUXURY INC,,2017,10,October,"2,864",0,18
B01751,CONCORDE EXP OF N.Y. INC,,2015,7,July,"3,715",0,11
B01779,APEX CAR & LIMO SVCE INC,,2017,11,November,739,0,31
B02026,A RIDE FOR ALL LLC,,2016,1,January,63,0,1
B00472,FARRELL'S LEASING CO.,,2016,5,May,"1,570",0,62
B02352,"SUPER FAST LIMOUSINE SERVICE, INC.",,2018,2,February,"6,603",0,41
B02705,GROUND JET EXECUTIVE TRANSPORTATION LLC,,2016,8,August,75,0,7
B02547,NICK CAR & LIMO SERVICE INC.,,2018,9,September,21,0,7
B00987,AHSAN INC.,MARLBORO CAR SERVICE,2017,2,February,"1,151",0,9
B01129,GTWY INC,GATEWAY CAR & LIMO SVCE,2017,3,March,"7,309",0,20
B02552,INTERSTATE LUXURY LIMOUSINES INC.,,2018,11,November,296,0,7
b01124,COOPERATIVA CLBNA DE CON INC,,2016,8,August,"9,932",0,66
B02410,"POLO LIMOUSINE, CORP.",,2015,11,November,"1,835",0,47
B02848,V R WORLDWIDE INC,,2016,1,January,38,0,3
B02995,"ACCREDITED LIMOUSINE SERVICE, LLC",,2017,7,July,177,0,10
B02794,ASAP LUXE INC,,2015,10,October,396,0,3
B00235,"ARISTACAR & LIMOUSINE, LTD.",,2016,12,December,957,0,24
B02491,CALL THREES LLC,,2016,8,August,892,0,5
B02686,STANDARD LIMOUSINE & CAR SERVICE GROUP LLC.,,2015,4,April,189,0,21
b00881,CROSSBAY CAR SERVICE NY INC,,2016,5,May,779,0,12
B02814,BELL LX INC,,2017,4,April,"2,637",0,11
B02705,GROUND JET EXECUTIVE TRANSPORTATION LLC,,2017,12,December,62,0,3
B02717,ZOOM CAR SERVICE INC.,,2016,12,December,707,0,3
B02971,"ULTRA BLACK CAR TRANSPORTATION, CORP.",,2018,9,September,382,0,26
B01923,"AVID INTERNATIONAL, INC.",,2016,8,August,"1,068",0,17
B01351,HADERECH CAR SERVICE INC,,2017,5,May,363,0,3
B00919,HARLEM CARS INC.,,2016,12,December,"14,355",0,91
B02397,"CHICO EXPRESS,INC.",,2015,12,December,"2,353",0,11
B00310,WATSON CAR SERVICE INC.,,2018,2,February,"22,290",0,102
B01899,"ALLSTATE PRIVATE CAR & LIMO,INC",,2015,5,May,"22,395",0,135
B01923,"AVID INTERNATIONAL, INC.",,2017,4,April,941,0,18
B02839,YERUSHALAYIM CAR&LIMO INC,,2017,4,April,101,0,2
B01244,MASADA II C/L SVC INC,,2018,5,May,985,0,6
B01379,J.J.S. TRANSPORTATION CO. INC.,GRANT CITY CAR SVC,2015,10,October,"1,297",0,10
B02552,INTERSTATE LUXURY LIMOUSINES INC.,,2016,11,November,15,0,9
B02303,MINEOLA TRANSPORTATION INC.,,2016,6,June,37,0,4
B03016,BEST DEAL BLACK INC.,,2017,10,October,2,0,1
B01699,DT BROOKLYN CAR AND LIMO SVC. INC.,FIVE BOROUGHS CAR SERVICE,2016,4,April,318,0,4
B02037,KINGSDALE DISPATCH INC,,2018,4,April,"1,105",0,7
B00900,BIG Q CAR SVC. INC.,,2017,2,February,"47,687",0,191
B02229,NEW FAT INC.,ELEGANTE,2016,4,April,"5,340",0,47
B02612,GOLDEN LUXURY TRANSPORTATION INC.,,2016,10,October,364,0,12
B02106,"PERFECT LIMO SERVICE, INC.",,2018,12,December,13,0,5
B02909,PUERTO RICO EXPRESS BLACK LUXURY INC,,2017,11,November,"1,351",0,6
B02930,V.I.T. BLACK CAR TRANSPORTATION CORP.,,2017,7,July,"3,897",0,19
B02699,PRESIDENTIAL LUXURY LIMO INC.,,2016,8,August,"1,140",0,32
B01148,EVELYN CAR SERVICE INC,,2017,11,November,"1,553",0,12
B00013,LOVE CORPORATE CAR INC,,2016,8,August,"3,476",0,116
B01970,GRAFE STREET SERVICE CORP.,,2017,9,September,450,0,11
B01727,"CHAUFFEUR SERVICES, INC.",NICE GUYS LIMO,2017,9,September,26,0,1
B02574,"MTC LIMOUSINE & CORPORATE COACH,INC.",,2018,10,October,"1,543",0,31
B01546,BELLE-ROCK OF BEACH CHANNEL INC.,,2019,1,January,"1,609",0,11
B02790,"LAN TIAN CAR SERVICE, INC",,2018,9,September,5,0,5
B02111,HUANG HOU CAR SERVICES INC.,HUANG HOU CAR SERVICES INC.,2018,5,May,"23,277",0,106
B00419,KOOP DISPATCHING INC.,,2018,3,March,"1,317",0,11
B00296,PRIME TIME TRANS. INC,,2017,12,December,"1,047",0,38
B02705,GROUND JET EXECUTIVE TRANSPORTATION LLC,,2017,5,May,122,0,5
B02021,EASYRIDE CAR SERVICE INC.,,2015,10,October,"1,448",0,9
B01200,NEW YORK APPLE CAR SERVICE INC,N Y LIMO & CAR SVCE,2016,6,June,"5,555",0,27
B02447,LUIGI MEMO INC.,VIEW,2016,6,June,25,0,10
B01667,"NEW GOLDEN HORSE C/L SVC,INC.",,2015,6,June,"32,390",0,168
B01200,NEW YORK APPLE CAR SERVICE INC,N Y LIMO & CAR SVCE,2018,7,July,"3,286",0,18
B02248,HYBRID LIMO EXPRESS INC.,,2017,8,August,288,0,2
B02597,"RUDY'S LIMOUSINE SERVICE, INC.",RUDY'S EXECUTIVE TRANSPORTATION,2015,4,April,27,0,11
B02634,VETERANS RADIO DISPATCHER CORP.,,2016,11,November,"34,303",0,194
B01667,"NEW GOLDEN HORSE C/L SVC,INC.",,2018,12,December,"30,076",0,162
B02460,CABOT LIMO NY CORP.,,2016,8,August,949,0,25
B01197,"TEL-A-CAR OF NEW YORK, LLC",,2019,1,January,"2,825",0,59
B02745,HOYT LIVERY INC,,2015,5,May,380,0,19
B02797,CJ LIMOUSINE LLC,,2018,3,March,425,0,10
B02797,CJ LIMOUSINE LLC,,2015,9,September,601,0,20
B00227,"PARK WEST EXEC. SERVICES, INC.",TOWN CARS,2017,10,October,"8,544",0,147
B02055,"MONTAGUE MANAGEMENT SERVICES, INC.",PROMINENT CAR & LIMO,2016,4,April,258,0,2
B00171,CURB TRANSPORTATION SERVICES LLC.,,2017,8,August,"2,571",0,29
B00014,NY ONE CORP CAR INC,,2019,1,January,"5,159",0,123
B01263,"RACHEL'S CAR SERVICE,INC.",,2016,9,September,"5,324",0,17
B03144,JUST A MOMENT CAR SERVICE INC,,2018,10,October,24,0,1
B02004,METROPOLITAN MULTIPLEX CAR SERVICE CORP.,,2016,10,October,"5,386",0,25
B01417,NESHER EXPRESS CAR SERVICE 2 INC.,,2018,12,December,"1,209",0,11
B03047,"STS LUXURY, INC",,2018,10,October,"3,578",0,55
B02825,GUADALUPANA II CAR & LIMO INC,,2017,12,December,"4,277",0,16
B02899,NEW BLACK LUXURY CARS CORP,,2018,8,August,"7,939",0,27
B02145,NEW 2020 CAR SERVICE INC,,2017,6,June,"1,277",0,12
B02180,PEGASUS TRANSPORT SERVICE INC.,,2018,6,June,14,0,3
B01726,SUPER CLASS RADIO DISP INC,,2015,11,November,"27,584",0,168
B02760,VISMAR RADIO DISPATCH INC.,,2017,10,October,293,0,6
B01367,"ROYAL DISPATCH SERVICES, INC.",EXECUTIVE CARS,2016,8,August,"3,831",0,92
B00531,"FRIENDLY BEST-WAY TRANSPORTATION, INC.",,2017,2,February,"2,392",0,15
B00937,RIVERSIDE RADIO DISPATCHER,,2015,10,October,"59,785",0,334
B02480,WOODHAVEN LIMOUSINE INC,,2017,1,January,652,0,31
B02724,PRIME TIME LIMOUSINE INC.,PRIME TIME GLOBAL,2017,9,September,319,0,19
B02997,KALUMA TRANSPORTATION GROUP INC.,,2018,7,July,170,0,29
B01674,NEW PUEBLA CAR & LIMOUSINE SERVICE INC.,,2017,12,December,"3,484",0,19
B00056,TRANSIT PRIVATE CAR SERVICE INC.,,2018,9,September,"1,636",0,25
B02966,ELEGANT LUXURY LIMO LLC,,2017,6,June,260,0,19
B02405,POWER LUXURY RADIO DISPATCH INC.,,2015,12,December,200,0,6
B01145,ULTRA RADIO DISP INC,,2018,3,March,"28,587",0,147
B01721,W.K. CAR & LIMO SERVICE INC,,2018,2,February,"2,807",0,22
B01424,EAGLE CAR & LIMO LTD.,,2016,6,June,579,0,3
B00054,128 BLUE BIRD TRANSPORT INC.,LATCH CAR SERVICE,2018,10,October,846,0,5
B02067,"GROUP AMERICAR TRANSPORTATION,LLC.",,2017,4,April,"3,474",0,89
B02148,MAVRIK TRANS INC.,,2017,10,October,578,0,34
B02893,DORADO EXPRESS INC.,,2017,1,January,506,0,8
B01672,NEW DAYNIGHT CAR SVCE,,2017,6,June,"1,019",0,23
B01593,"NOVAK GLOBAL, INC.",SKYWAY CAR SERVICE,2018,6,June,"1,435",0,9
B02735,"BEST DEAL CAR SERVICE 2,INC.",,2017,12,December,85,0,18
B01417,NESHER EXPRESS CAR SERVICE 2 INC.,,2016,3,March,"5,172",0,19
B02774,ALFRED HOLDINGS INC.,ALFRED EXECUTIVE TRANSPORTATION,2015,4,April,"5,233",0,921
B01013,AMERICANA TRANSPORTATION LLC,,2018,6,June,"1,037",0,6
B02145,NEW 2020 CAR SERVICE INC,,2017,10,October,770,0,6
B01711,FLUSHING LIMO TRANSP CORP,,2017,2,February,"5,773",0,29
B02735,"BEST DEAL CAR SERVICE 2,INC.",,2015,5,May,"6,011",0,140
B02799,CHURCH AVENUE EXPRESS INC,,2018,12,December,"2,543",0,10
B02331,"CHICO EXPRESS LIMO, INC.",,2017,8,August,"1,465",0,7
B03080,AMBAR TRANSPORTATION INC.,,2018,10,October,727,0,5
B01534,METRO CAR SERVICE CORP.,METROLINE CAR SERVICE,2017,1,January,"5,422",0,24
B01944,"DAG NETWORK TRANSPORTATION,CORP",,2017,2,February,219,0,11
B00208,ERNEST SCHWARZ INC,,2017,3,March,276,0,6
B01614,R TRANSPORT INC,,2018,3,March,486,0,7
B03033,FLEX EXPRESS CORP.,,2018,1,January,"3,813",0,20
B01843,"VINCENT'S LIMOUSINE SERVICE OF NEW YORK, INC.",VINCENT LIMOUSINE,2017,9,September,"1,603",0,33
B00419,KOOP DISPATCHING INC.,,2015,12,December,602,0,10
B01636,HEIGHTS CAR & LIMO INC,,2016,5,May,351,0,5
B00277,ALL CITY CORP TRANS INC,,2017,4,April,"1,455",0,44
B02674,ELAL CAR LIMO SERVICE LLC,FIFTH AVENUE CAR LIMO SERVICE,2018,1,January,"2,541",0,11
B00220,BIG EAST MULTI GROUP CORP.,PREMIER CAR SERVICE,2017,4,April,757,0,8
B02573,SUNSET PARK CAR SERVICE INC,,2017,5,May,"3,814",0,15
B02897,FC LIMOUSINE INC,,2018,11,November,956,0,36
B01362,AMERICAN BASE NO.1 INC.,,2016,9,September,"14,719",0,128
B02674,ELAL CAR LIMO SERVICE LLC,FIFTH AVENUE CAR LIMO SERVICE,2018,3,March,"2,824",0,14
B01343,ALL PEOPLE CAR SERVICE INC.,,2018,6,June,989,0,8
B02896,DJOUMA LIMO INC,,2017,10,October,"1,801",0,9
B02770,"CAVALIER CAR & LIMOUSINE, INC.",,2016,9,September,437,0,8
B01332,SKYWAY CAR SERVICE EXPRESS INC.,,2017,12,December,992,0,16
B02093,V.J. CAR & LIMO SVC INC.,,2015,8,August,"2,071",0,14
B01527,NEW FAMILY RAD DISP INC,,2018,9,September,"6,425",0,57
B00459,910 CAR SERVICE INC,,2017,6,June,"8,279",0,51
B01124,COOPERATIVA CLBNA DE CON INC,,2018,1,January,"4,027",0,29
B02377,"ECONOMY CAR SERVICE, LLC",,2016,2,February,185,0,4
B03017,SDR TRANSPORTATION CORP.,,2018,6,June,"15,746",0,58
B02803,OUTSIDE'S CAR SERVICE INC.,,2019,1,January,"8,434",0,52
B01979,DREAMLAND CAR & LIMO.SVC INC.,,2015,8,August,20,0,9
B01973,RAJA CAR & LIMOUSINE SERVICE INC.,ANGEL CAR SERVICE,2016,2,February,"2,509",0,14
B00255,CAUTIOUS CARS INC.,,2016,5,May,296,0,17
B01417,NESHER EXPRESS CAR SERVICE 2 INC.,,2017,2,February,"2,032",0,13
B00449,A KINGS HWY C/S INC.,,2016,2,February,"4,109",0,20
B00381,BELL RADIO INC,,2015,3,March,"10,311",0,148
LYFT,LYFT,LYFT,2016,9,September,"1,068,625",0,"15,374"
B02508,"DISPATCH CENTRAL, INC.",,2017,7,July,27,0,7
B01109,UNITED EXP C/L SVCE,,2016,10,October,"10,788",0,56
B01081,GEORGE TOWN MANAGEMENT INC,,2017,5,May,"2,343",0,16
B02440,MLL LIMOUSINE SERVICES INC.,,2017,9,September,"1,328",0,31
B01717,HIGH CLASS BRONX LIMO C/S CORP,,2017,4,April,"40,807",0,325
B00823,"EASTERN L.P.B.,INC.",EASTERN CAR SVCE,2018,12,December,"10,001",0,82
B00445,JOE M LEASING CORP,FOUR TWO'S PVT C/S,2018,8,August,"8,048",0,20
B01536,FIRST CLASS C/L SVC CORP,,2017,11,November,"18,108",0,120
B01923,"AVID INTERNATIONAL, INC.",,2016,2,February,"1,152",0,20
b02725,KIRIN TRANSPORTATION INC,,2016,5,May,"1,604",0,32
B02997,KALUMA TRANSPORTATION GROUP INC.,,2018,10,October,132,0,25
B00628,"CONCORD LIMOUSINE 1, LLC",,2016,11,November,"15,653",0,332
B02217,PCS LIMOUSINE INC.,,2018,2,February,372,0,11
B02534,DV LUXURY TRANSPORTATION CORPORATION,,2018,1,January,"5,469",0,45
B02612,GOLDEN LUXURY TRANSPORTATION INC.,,2017,10,October,148,0,6
B01343,ALL PEOPLE CAR SERVICE INC.,,2018,1,January,"1,300",0,11
B00619,"HOLA CAR SERVICE,INC.",,2018,1,January,474,0,9
B00900,BIG Q CAR SVC. INC.,,2016,12,December,"55,936",0,195
B02845,MIRAE CALLS INC,,2015,12,December,22,0,10
B00084,AUTOMOTIVE SVC SYSTEM INC,,2017,10,October,12,0,5
B01944,"DAG NETWORK TRANSPORTATION,CORP",,2018,3,March,148,0,15
b00756,T & S HILLSIDE INC.,RED CAP CAR SERVICE,2015,10,October,"8,414",0,30
B03002,"REYNO,INC.",,2017,8,August,"3,976",0,25
B02152,"KYOEI LIMOUSINE, INC.","KYOEI LIMOUSINE, INC.",2017,2,February,360,0,13
B02058,MEX SERVICE INC,MEX EXPRESS CAR SERVICE,2015,9,September,"12,330",0,81
B03032,A & S LIMOUSINE SERVICE CORP,,2017,12,December,"2,159",0,13
B02288,SAFARI TRANSPORTATION INC.,,2017,8,August,182,0,4
B01146,CHURCH AVE C/S INC,,2019,1,January,"10,132",0,38
B02073,"STARGATE LIMOUSINE, INC.",,2015,10,October,253,0,18
B01467,NEW EXPERIENCE #1 INC,,2015,6,June,"22,679",0,104
B02429,SEAGULL RIDE CORP,,2017,3,March,"4,015",0,9
B01626,LA NUEVA QUISQUEYA C/S INC,,2018,1,January,"31,468",0,124
B01717,HIGH CLASS BRONX LIMO C/S CORP,,2016,2,February,"59,237",0,444
B00013,LOVE CORPORATE CAR INC,,2016,3,March,"8,098",0,133
B02345,WESTCHESTER ACQUISITION CORP.,,2015,6,June,"3,493",0,101
B02709,DASH CAR SERVICE CORP,,2018,3,March,760,371,3
B01625,GLOBE CAR SERVICE INC,,2016,8,August,"2,420",0,6
B02248,HYBRID LIMO EXPRESS INC.,,2015,8,August,19,0,1
B02893,DORADO EXPRESS INC.,,2017,6,June,54,0,6
B02732,KESHES INC,,2018,10,October,"2,265",0,14
B00955,GOLDEN-TOWN CAR & LIMOUSINE SERVICE INC.,,2016,2,February,"2,954",0,54
B02315,LA MORENITA CAR LIMO SERVICE INC,,2018,1,January,"3,103",0,13
B02534,DV LUXURY TRANSPORTATION CORPORATION,,2017,6,June,"10,366",0,85
B00531,"FRIENDLY BEST-WAY TRANSPORTATION, INC.",,2018,4,April,"2,167",0,17
B01871,"ALPINE LIMOUSINE SERVICE, INC.",,2018,7,July,"2,401",0,88
B01145,ULTRA RADIO DISP INC,,2015,11,November,"31,479",0,180
B00208,ERNEST SCHWARZ INC,,2016,6,June,213,0,5
B01534,METRO CAR SERVICE CORP.,METROLINE CAR SERVICE,2016,7,July,"5,940",0,28
B01963,AFRO CAR SERVICE CORP,,2016,7,July,"1,296",0,15
B00477,INTA-BORO ACRES INC,,2018,9,September,"7,686",0,156
LYFT,LYFT,LYFT,2017,4,April,"1,766,732",0,"23,250"
B02995,"ACCREDITED LIMOUSINE SERVICE, LLC",,2017,3,March,166,0,7
B02470,VAHANA INC.,,2017,7,July,441,0,14
B02050,"MAZIN  CAR & LIMO SVC., LLC",,2018,3,March,"1,444",0,6
B00860,SEAMAN RADIO DISPATCHERS INC,,2015,9,September,"51,999",0,255
B02101,EXEC TRANSPORT INC,EAST COAST WORLDWIDE LIMOUSINE,2018,7,July,"7,350",0,206
B02856,MARIACHI CAR SERVICE INC,,2016,4,April,"1,413",0,10
B00381,BELL RADIO INC,,2017,11,November,"4,799",0,107
B02784,SMILE TRANSPORTATION GROUP INC,,2017,6,June,"7,731",0,30
B00823,"EASTERN L.P.B.,INC.",EASTERN CAR SVCE,2017,9,September,"13,182",0,122
B02133,"TWR CAR & LIMO, INC.",,2015,5,May,"2,222",0,43
B00449,A KINGS HWY C/S INC.,,2017,3,March,"6,177",0,21
B03051,VILLE DE LA LIBERTE CHAUFFEUR INC,,2018,9,September,"2,268",0,10
B02968,NEW GENERATION BLACK CAR TRANSPORTATION CORP.,,2018,7,July,"1,994",0,13
B00448,DIAL CAR INC.,,2015,7,July,136,0,32
B00608,SUMMIT CORPORATE CAR INC.,,2015,7,July,"3,995",0,49
B03055,EXPLORER EXPRESS INC,,2017,12,December,775,0,17
B01990,SUK INCORPORATED,RAINBOW LIMO,2015,11,November,959,0,50
B02060,AMERICAN LIMOUSINE LLC,FLYTE TYME WORLDWIDE/ADDISON LEE,2017,8,August,505,0,64
B03046,"BEL-LINDA, INC",ISLANDER TRANS,2018,9,September,"2,527",0,17
B00746,BAMADU CAR SVCE,,2016,3,March,681,0,10
B00039,BERMUDA LIMOUSINE SERVICE INC.,,2017,9,September,"1,013",0,46
B02491,CALL THREES LLC,,2017,2,February,"1,265",0,6
